experiment,dataset,strategy,extractor,clf,mean_f1,std_f1,n_samples,emb_dim
Exp3_concat_prefix,FMD,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.8449418690080408,0.0168092526585314,n/a,4780
Exp3_concat_prefix,FMD,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.8223914483100913,0.0144947722354825,n/a,4780
Exp3_concat_prefix,FMD,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.8982188772728374,0.0179731073563765,n/a,6060
Exp3_concat_prefix,FMD,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.8493704208122999,0.0092941161300371,n/a,6060
Exp3_concat_prefix,FMD,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.8307765428561362,0.0329398154134512,n/a,6060
Exp3_concat_prefix,FMD,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9190160323906472,0.0100541189617311,n/a,6828
Exp3_concat_prefix,FMD,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.8686702983587484,0.0090229340551922,n/a,6828
Exp3_concat_prefix,FMD,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.8379929695119033,0.0143913979236735,n/a,6828
Exp3_concat_prefix,FMD,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.918169967458192,0.0169741141441804,n/a,7596
Exp3_concat_prefix,FMD,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.8584434285469902,0.0093764180011091,n/a,7596
Exp3_concat_prefix,FMD,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.8401032354763454,0.0202577259971858,n/a,7596
Exp3_concat_prefix,FMD,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9152469444621774,0.0201155601987333,n/a,7980
Exp3_concat_prefix,FMD,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.8537523659927251,0.0175833168215396,n/a,7980
Exp3_concat_prefix,FMD,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.8434894952173216,0.0180156728792788,n/a,7980
