dataset,extractors,clf,mean_f1,std_f1,single_dim,k,concat_dim
ocular_toxoplasmosis,['dinov2'],rf,0.8091748454585431,0.0479997344208577,768,1,768
ocular_toxoplasmosis,['dinov2_large'],svm,0.8287140703625762,0.0452007787353118,1024,1,1024
ocular_toxoplasmosis,['dinov2_large'],knn,0.7773596277109623,0.0510397680084947,1024,1,1024
ocular_toxoplasmosis,['dinov2_large'],rf,0.7920315940220869,0.0392417322838377,1024,1,1024
ocular_toxoplasmosis,['resnet50'],svm,0.7907558021398282,0.042338482492586,2048,1,2048
ocular_toxoplasmosis,['resnet50'],knn,0.7521680397661956,0.0499272137984311,2048,1,2048
ocular_toxoplasmosis,['resnet50'],rf,0.7520056488993847,0.050152143088439,2048,1,2048
ocular_toxoplasmosis,['convnext_v2_t'],svm,0.8226190889611139,0.0418178122000082,768,1,768
ocular_toxoplasmosis,['convnext_v2_t'],knn,0.7497629528181494,0.069431751121492,768,1,768
ocular_toxoplasmosis,['convnext_v2_t'],rf,0.776313627826208,0.0624960372003883,768,1,768
ocular_toxoplasmosis,['efficientnet_b0'],svm,0.816471720409873,0.0557328932894428,1280,1,1280
ocular_toxoplasmosis,['efficientnet_b0'],knn,0.755961583712913,0.0602702619943151,1280,1,1280
ocular_toxoplasmosis,['efficientnet_b0'],rf,0.7469940239586697,0.0682303812714101,1280,1,1280
ocular_toxoplasmosis,['lbp'],svm,0.5408456035011427,0.0675366608676479,54,1,54
ocular_toxoplasmosis,['lbp'],knn,0.6345808043005762,0.0592635015734773,54,1,54
ocular_toxoplasmosis,['lbp'],rf,0.7125242087034144,0.0745304803438995,54,1,54
ocular_toxoplasmosis,['glcm'],svm,0.2250675698962331,0.0175759874813516,18,1,18
ocular_toxoplasmosis,['glcm'],knn,0.6013583571610878,0.044252217272999,18,1,18
ocular_toxoplasmosis,['glcm'],rf,0.5752870033611055,0.0624034157858593,18,1,18
ocular_toxoplasmosis,['gabor'],svm,0.2088888888888889,0.002721655269759,48,1,48
ocular_toxoplasmosis,['gabor'],knn,0.5939324740485807,0.0324824076214341,48,1,48
ocular_toxoplasmosis,['gabor'],rf,0.6512550722814187,0.0268651062716935,48,1,48
ocular_toxoplasmosis,['hog'],svm,0.6356648813946779,0.0695190201678931,1764,1,1764
ocular_toxoplasmosis,['hog'],knn,0.541869555724507,0.0607641700254794,1764,1,1764
ocular_toxoplasmosis,['hog'],rf,0.6347537232565705,0.0539296877961049,1764,1,1764
ocular_toxoplasmosis,['drlbp'],svm,0.2613468114825791,0.0624482872519495,80,1,80
ocular_toxoplasmosis,['drlbp'],knn,0.5293297442384722,0.0711971903080229,80,1,80
ocular_toxoplasmosis,['drlbp'],rf,0.5681992408231762,0.0515404264446586,80,1,80
KTH-TIPS2,['vit_b16'],svm,0.9997805517273288,0.0004388965453422,768,1,768
KTH-TIPS2,['vit_b16'],knn,0.9995503929104615,0.0005509143234996,768,1,768
KTH-TIPS2,['vit_b16'],rf,0.9962030495317078,0.0022788056111559,768,1,768
KTH-TIPS2,['swin_t'],svm,0.9997805517273288,0.0004388965453422,768,1,768
KTH-TIPS2,['swin_t'],knn,0.999551813420496,0.0005491107146179,768,1,768
KTH-TIPS2,['swin_t'],rf,0.999141632019481,0.0004296376483463,768,1,768
